	1	2	3	4	5	6	7	8	9	10	Media	Dev. std.
2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	0.000	0.002
16	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.002
32	0.000	0.000	0.000	0.010	0.010	0.000	0.000	0.000	0.000	0.010	0.001	0.003
64	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.010	0.002	0.004
128	0.070	0.070	0.070	0.070	0.070	0.070	0.070	0.070	0.070	0.070	0.012	0.024
256	0.460	0.460	0.470	0.460	0.480	0.480	0.470	0.480	0.480	0.460	0.069	0.154
512	4.230	3.820	3.830	3.780	3.790	3.790	3.780	3.760	3.770	3.780	0.487	1.199
