CPU: Intel Architectural Perfmon, speed 1199 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        linenr info                 image name               symbol name
32        0.0011  /home/marco/Documenti/hmm_linux/sample.c:187 /home/marco/Documenti/hmm_linux/hmm.so sample1
31        0.0010  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _max_v_i
29       9.6e-04  (no location information)   /lib/libpthread-2.10.1.so _pthread_cleanup_push_defer
28       9.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_mv_riga_d
25       8.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_ms_riga_i
25       8.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_m_i
25       8.3e-04  (no location information)   /lib/libm-2.10.1.so      /lib/libm-2.10.1.so
24       8.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_m_d
23       7.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _daMATRICE_i
21       7.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxle_d
19       6.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_mv_riga_i
19       6.3e-04  (no location information)   /lib/libpthread-2.10.1.so _pthread_cleanup_pop_restore
17       5.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _creaMatr_d
17       5.7e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _moltiplica_vv_d
15       5.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _creaMatr_i
14       4.7e-04  /home/marco/Documenti/hmm_linux/sample.c:229 /home/marco/Documenti/hmm_linux/hmm.so _sample_p
12       4.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _riga_d
10       3.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _Intestazione
10       3.3e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxgt_i
9        3.0e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _accoda1_vv_i
