700: 11.63 sec
CPU: Intel Architectural Perfmon, speed 1199 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        linenr info                 image name               symbol name
29        0.0082  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma_m_d
26        0.0073  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_mv_riga_i
26        0.0073  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_m_i
25        0.0071  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _aggiungi_mv_riga_d
21        0.0059  (no location information)   /lib/libm-2.10.1.so      /lib/libm-2.10.1.so
17        0.0048  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _creaMatr_d
16        0.0045  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _daMATRICE_i
16        0.0045  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _moltiplica_vv_d
15        0.0042  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _creaMatr_i
14        0.0040  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_m_d
14        0.0040  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _riga_d
13        0.0037  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxle_d
12        0.0034  /home/marco/Documenti/hmm_linux/probmod.c:26 /home/marco/Documenti/hmm_linux/hmm.so probmod2
10        0.0028  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _incr1_v_indx_i
10        0.0028  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_v_indxgt_i
9         0.0025  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_colindxeq_i
8         0.0023  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_indx_d
7         0.0020  /home/marco/Documenti/hmm_linux/assign_nodes.c:19 /home/marco/Documenti/hmm_linux/hmm.so assign_nodes2
6         0.0017  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _InitVett_i
6         0.0017  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _Intestazione
6         0.0017  /home/marco/Documenti/hmm_linux/sample.c:229 /home/marco/Documenti/hmm_linux/hmm.so _sample_p
6         0.0017  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_vv_eq_i
5         0.0014  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_segmv_d
5         0.0014  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_v_d
5         0.0014  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _ordine_i
4         0.0011  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _accoda1_vv_i
4         0.0011  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _assegna1_v_indxNA_d
4         0.0011  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _cancellaVett_i
4         0.0011  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _copia_v_indx_i
4         0.0011  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _promuovi_i
4         0.0011  /home/marco/Documenti/hmm_linux/sampleB.c:8 /home/marco/Documenti/hmm_linux/hmm.so _sampleB_p
3        8.5e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _min_s_d
3        8.5e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _somma1_vs_d
3        8.5e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _vettore3s_i
3        8.5e-04  (no location information)   /usr/lib/R/library/methods/libs/methods.so /usr/lib/R/library/methods/libs/methods.so
2        5.6e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so StrBilanciam
2        5.6e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _vettore3s_d
2        5.6e-04  (no location information)   /lib/libnss_compat-2.10.1.so /lib/libnss_compat-2.10.1.so
1        2.8e-04  (no location information)   /home/marco/Documenti/hmm_linux/create_mod.so _creaVett_i
1        2.8e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _cbind2v_i
1        2.8e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _min_s_i
1        2.8e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _seq_d
1        2.8e-04  (no location information)   /home/marco/Documenti/hmm_linux/hmm.so _which_m_rowindxeq_i
1        2.8e-04  (no location information)   /usr/lib/libgsl.so.0.13.0 /usr/lib/libgsl.so.0.13.0
