"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"22";"'tmp_i1'";"score_sf.c # 35";"score_sf.c # 173";"2";"0";"score_sf.c # 35";"score_sf.c # 52"
"24";"'ind'";"score_sf.c # 63";"score_sf.c # 185";"2";"0";" # 0";" # 0"
"29";"'ris'";"r_aux_i.c # 3003";"score_sf.c # 189";"0";"0";" # 0";" # 0"
"27";"'ind2'";"score_sf.c # 84";"score_sf.c # 190";"2";"0";" # 0";" # 0"
"31";"'ris'";"r_aux_i.c # 4876";"score_sf.c # 191";"2";"0";"r_aux_i.c # 4975";"score_sf.c # 94"
"23";"'tmp_i2'";"score_sf.c # 54";"score_sf.c # 192";"2";"0";"score_sf.c # 54";"score_sf.c # 93"
"25";"'indbad'";"score_sf.c # 77";"score_sf.c # 193";"2";"0";"score_sf.c # 77";"r_aux_i.c # 2459"
"30";"'ris'";"r_aux_i.c # 4876";"score_sf.c # 194";"2";"0";"r_aux_i.c # 4975";"score_sf.c # 92"
"28";"'ind3'";"score_sf.c # 86";"score_sf.c # 195";"2";"0";"score_sf.c # 86";"score_sf.c # 89"
"29";"'ind1'";"score_sf.c # 82";"score_sf.c # 88";"1";"0";" # 0";" # 0"
"32";"'ind1'";"score_sf.c # 88";"score_sf.c # 88";"0";"0";" # 0";" # 0"
"32";"'ind0'";"score_sf.c # 89";"score_sf.c # 89";"0";"0";" # 0";" # 0"
"33";"'indinf'";"score_sf.c # 93";"score_sf.c # 93";"0";"0";" # 0";" # 0"
"24";"'S_new'";"score_sf.c # 33";"score_sf.c # 172";"1";"0";"score_sf.c # 33";"score_sf.c # 54"
"25";"'tmp_i1'";"score_sf.c # 35";"score_sf.c # 173";"1";"0";"score_sf.c # 35";"score_sf.c # 52"
"27";"'ind'";"score_sf.c # 63";"score_sf.c # 185";"1";"0";" # 0";" # 0"
"32";"'ris'";"r_aux_i.c # 3003";"score_sf.c # 189";"0";"0";" # 0";" # 0"
"30";"'ind2'";"score_sf.c # 84";"score_sf.c # 190";"1";"0";" # 0";" # 0"
"34";"'ris'";"r_aux_i.c # 4876";"score_sf.c # 191";"0";"0";" # 0";" # 0"
"26";"'tmp_i2'";"score_sf.c # 54";"score_sf.c # 192";"1";"0";"score_sf.c # 54";"score_sf.c # 55"
"28";"'indbad'";"score_sf.c # 77";"score_sf.c # 193";"1";"0";"score_sf.c # 77";"score_sf.c # 77"
"33";"'ris'";"r_aux_i.c # 4876";"score_sf.c # 194";"0";"0";" # 0";" # 0"
"31";"'ind3'";"score_sf.c # 86";"score_sf.c # 195";"1";"0";" # 0";" # 0"
"29";"'ind1'";"score_sf.c # 82";"score_sf.c # 88";"2";"0";" # 0";" # 0"
"32";"'ind1'";"score_sf.c # 88";"score_sf.c # 88";"0";"0";" # 0";" # 0"
"32";"'ind0'";"score_sf.c # 89";"score_sf.c # 89";"0";"0";" # 0";" # 0"
"33";"'indinf'";"score_sf.c # 93";"score_sf.c # 93";"0";"0";" # 0";" # 0"
"24";"'S_new'";"score_sf.c # 33";"score_sf.c # 172";"2";"0";"score_sf.c # 33";"score_sf.c # 54"
