"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"2";"'tmpm1_i'";"simulateprofiles.c # 85";"simulateprofiles.c # 150";"5";"5";"0";"simulateprofiles.c # 85";"simulateprofiles.c # 86"
"1";"'Mdiscr'";"simulateprofiles.c # 83";"simulateprofiles.c # 152";"5";"5";"0";"simulateprofiles.c # 83";"simulateprofiles.c # 86"
"3";"'Mneg'";"simulateprofiles.c # 86";"simulateprofiles.c # 153";"5";"5";"0";"simulateprofiles.c # 86";"boole_result.c # 58"
--------------------------------------

