"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
"3";"'tmpm1_i'";"simulateprofiles.c # 85";"simulateprofiles.c # 150";"5";"5";"0";"simulateprofiles.c # 85";"simulateprofiles.c # 86"
"2";"'Mdiscr'";"simulateprofiles.c # 83";"simulateprofiles.c # 152";"5";"5";"0";"simulateprofiles.c # 83";"simulateprofiles.c # 86"
"4";"'Mneg'";"simulateprofiles.c # 86";"simulateprofiles.c # 153";"5";"5";"0";"simulateprofiles.c # 86";"boole_result.c # 58"
"1";"'reg'";"simulateprofiles.c # 389";"simulateprofiles.c # 676";"5";"3";"0";"simulateprofiles.c # 390";"write_table.c # 28"
--------------------------------------

"ID";"nome";"da";"a";"dim.max.righe";"dim.max.col.";"riallocazioni";"prima linea";"ultima linea"
