"ID";"nome";"da";"a";"dim.massima";"riallocazioni";"prima linea";"ultima linea"
"27";"'I'";"probmod.c # 203";"probmod.c # 203";"10";"0";"probmod.c # 203";"r_aux_i.c # 4975"
"27";"'ris'";"r_aux_i.c # 3003";"probmod.c # 248";"10";"0";"r_aux_i.c # 4975";"r_aux_i.c # 4975"
"27";"'I'";"probmod.c # 248";"probmod.c # 248";"5";"0";"probmod.c # 248";"r_aux_i.c # 4975"
"27";"'ris'";"r_aux_i.c # 3003";"probmod.c # 248";"5";"0";"r_aux_i.c # 4975";"probmod.c # 248"
"27";"'I'";"probmod.c # 248";"probmod.c # 248";"10";"0";"probmod.c # 248";"r_aux_i.c # 4975"
"27";"'ris'";"r_aux_i.c # 3003";"probmod.c # 248";"10";"0";"r_aux_i.c # 4975";"probmod.c # 248"
"27";"'I'";"probmod.c # 248";"probmod.c # 248";"10";"0";"probmod.c # 248";"r_aux_i.c # 4975"
"27";"'ris'";"r_aux_i.c # 3003";"probmod.c # 248";"10";"0";"r_aux_i.c # 4975";"probmod.c # 248"
"27";"'I'";"probmod.c # 248";"probmod.c # 248";"10";"0";"probmod.c # 248";"r_aux_i.c # 4975"
"15";"'M_in'";"probmod.c # 52";"probmod.c # 273";"4";"0";"probmod.c # 52";"probmod.c # 71"
"16";"'M_out'";"probmod.c # 54";"probmod.c # 274";"4";"0";"probmod.c # 54";"probmod.c # 69"
"17";"'tmp_i1'";"probmod.c # 73";"probmod.c # 275";"12";"0";"probmod.c # 92";"probmod.c # 222"
"18";"'tmp_i2'";"probmod.c # 74";"probmod.c # 276";"12";"0";" # 0";" # 0"
"20";"'indok'";"probmod.c # 95";"probmod.c # 277";"5";"0";"probmod.c # 95";"probmod.c # 144"
"21";"'indInf'";"probmod.c # 105";"probmod.c # 278";"5";"0";"r_aux_i.c # 3091";"r_aux_i.c # 3093"
"27";"'ris'";"r_aux_i.c # 3003";"probmod.c # 279";"10";"0";"r_aux_i.c # 4975";"r_aux_i.c # 4975"
"24";"'ord_ind'";"probmod.c # 188";"probmod.c # 280";"4";"0";"r_aux_i.c # 3663";"probmod.c # 244"
"22";"'aus'";"probmod.c # 173";"probmod.c # 281";"5";"0";"probmod.c # 173";"probmod.c # 222"
"23";"'rs'";"probmod.c # 186";"probmod.c # 282";"4";"0";"probmod.c # 186";"r_aux_i.c # 3652"
"19";"'ind1'";"probmod.c # 75";"probmod.c # 283";"0";"0";" # 0";" # 0"
"14";"'scalare_i'";"probmod.c # 39";"probmod.c # 284";"1";"0";" # 0";" # 0"
"26";"'I_add'";"probmod.c # 201";"probmod.c # 285";"20";"0";"probmod.c # 201";"probmod.c # 248"
"12";"'tmp1_i'";"module2.c # 44";"module2.c # 65";"4";"0";"module2.c # 44";"module2.c # 44"
"13";"'ris'";"sample.c # 304";"module2.c # 66";"1";"0";"distrib.c # 34";"module2.c # 46"
"21";"'tmp_i1'";"scoremodular.c # 33";"scoremodular.c # 154";"1";"0";"scoremodular.c # 33";"scoremodular.c # 56"
